"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.154785","X.0.259766","X0.912109","X.33.75","X.28.1875","X.25.5","X80","X90","X139","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.103516","X0.0825195","X1.04199","X.0.875","X0.25","X.0.3125","X91","X84","X65"
"1",0,0,0,0,0,0,0,0,0.0625,-0.424805,1.0498,-3.4375,-57.5625,-45.125,80,87,138,0,0,0,0,0,0,0,0,0.0795898,0.0854492,1.06396,-0.1875,-0.5,1.75,91,84,65
"2",0,0,0,0,0,0,0,0,0.156738,-0.365234,1.05957,-0.25,-66.4375,-49.6875,80,84,137,0,0,0,0,0,0,0,0,0.0854492,0.0600586,1.0708,-6.5,-3.875,6.5,91,84,65
"3",-21,-25,-39,-30,-16,-2,-16,-32,0.311523,-0.321289,0.985352,2.5625,-55.25,-36.5,80,79,137,-5,-1,-1,-5,-11,-4,-4,-11,0.113281,0.0395508,1.06787,-14.9375,-10.5625,15.375,91,83,65
"4",1,14,-25,-48,-28,-5,-2,12,0.297852,-0.324707,0.965332,-5.8125,-53.8125,-30.25,80,76,137,-5,-4,-5,-6,-3,2,26,-8,0.152832,0.0742188,1.05273,-13.125,-12,30.4375,90,83,66
"5",-7,0,101,0,-13,-3,1,-9,0.263184,-0.341309,0.881348,3.75,-54.375,-28.5625,80,73,136,-5,-5,0,-2,-3,-7,-8,-6,0.184082,0.0385742,1.0415,-29.4375,-7.5625,48.375,89,82,67
"6",-3,-11,-43,3,-7,-10,-6,5,0.1875,-0.346191,0.846191,3.5625,-9.625,-6.9375,80,72,136,-4,-1,0,1,-3,-9,-14,-7,0.179199,-0.000488281,1.03369,-31.75,-2.4375,55,89,82,68
"7",6,-48,0,-11,-17,-26,-10,-31,0.295898,-0.23291,0.780273,-16.1875,-26.9375,-0.375,80,70,136,-15,-5,-2,-3,-14,-63,-24,-15,0.150879,-0.0332031,0.989746,-51.25,16.375,65.375,87,82,70
"8",2,-5,28,4,-2,-2,6,5,0.252441,-0.255371,0.890137,3.6875,-40.125,12.4375,79,69,137,-13,-1,2,4,11,36,12,2,0.104492,-0.126953,1.01611,-81.875,33.0625,50.75,86,83,71
"9",30,-38,-16,-1,-10,-8,-14,-14,0.539551,-0.225098,0.94873,-1.9375,-41.3125,12.1875,79,67,138,19,1,4,2,1,19,19,24,0.0957031,-0.471191,1.10498,-72.875,-7.6875,13.3125,83,84,72
"10",1,-10,-30,-3,-2,-10,-5,-3,0.399414,-0.343262,0.904785,-1.5625,-33.75,3.75,79,65,138,-11,-2,-3,6,14,43,-2,-4,0.0141602,-0.278809,0.950195,-59.5625,1.3125,-28.9375,82,84,72
