"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.00634766","X0.0849609","X0.989258","X11.625","X.12.3125","X.5.4375","X93","X93.1","X164","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.065918","X.0.227539","X1.06396","X.4.375","X0.6875","X0.625","X84","X87","X51"
"11",-1,1,16,4,10,7,3,-23,-0.0307617,0.105957,1.0542,1.5625,-0.0625,-2.125,93,92,164,-7,8,5,6,4,-13,-3,4,0.868164,0.570312,-0.0791016,-14.9375,-36.875,-7.625,131,30,6
"12",-2,-5,0,-3,-3,-1,0,22,-0.0756836,0.065918,0.990723,-10.9375,2.625,-1.375,92,92,164,-1,-8,2,3,3,4,-1,2,0.914062,0.567383,-0.16748,-15.9375,-3.6875,2.75,132,30,5
"13",-2,0,1,5,1,4,-8,-10,-0.0556641,0.169434,1.03906,15.125,-3.6875,-0.9375,93,92,164,-10,-3,-1,0,2,0,-2,-15,0.696289,0.48877,-0.0708008,-29.625,30.625,22,131,29,6
"14",2,5,-1,-3,2,1,-13,-20,-0.0541992,0.097168,1.00684,5.0625,-1.125,-3.125,93,92,164,-3,2,1,-2,-2,-1,-6,-1,0.804199,0.464844,0.0166016,-12.9375,46.1875,19.9375,129,28,8
"15",-2,-1,-9,8,7,5,5,0,-0.043457,0.140625,1.00244,6.5,-1.5,-3.5625,93,92,164,-4,6,0,-1,-2,0,-1,-6,0.905762,0.495605,0.0532227,-0.75,40.75,16,127,28,10
"16",3,-4,-5,-6,-6,-7,4,-4,-0.0307617,0.151367,1.01465,1.4375,-0.875,-5.1875,93,92,164,4,-5,-1,1,0,-3,0,2,0.779297,0.433594,0.140625,-11.75,31.6875,8.0625,126,28,11
"17",-5,-10,-9,-9,-3,-5,-5,-4,-0.0473633,0.114746,1.00635,-0.25,-0.5,-5.5625,93,92,164,4,6,-1,-3,1,3,-3,-7,0.84082,0.458984,0.197266,5.3125,18.8125,3.9375,125,28,13
"18",-2,-17,-6,-2,-6,-5,-11,10,-0.0161133,0.157715,1.01514,0.9375,-2.1875,-5.9375,93,92,164,12,11,-2,-2,-1,-1,-4,32,0.835938,0.436035,0.240234,-4.5,16,2.375,124,29,14
"19",0,5,33,5,4,2,-3,5,-0.0322266,0.157715,1.00635,-1.6875,-1.1875,-2.8125,93,92,164,10,1,-3,-1,-2,2,2,7,0.849609,0.473145,0.217285,-3.4375,19.125,3.9375,123,29,15
"20",-2,-2,-8,5,3,5,-3,-9,-0.0175781,0.122559,1.0083,-4.5,1.25,-1.5,93,92,164,-2,-1,-1,-1,0,-3,-2,-15,0.861816,0.442871,0.198242,-5.3125,31.625,9.25,121,29,16
"21",-5,-10,-55,-14,-5,1,1,6,-0.0483398,0.116211,1.00684,1.8125,1.625,-0.625,93,92,164,-1,4,-1,-1,-1,-1,-5,-8,0.89209,0.483887,0.182617,-7.9375,48.1875,15.75,120,30,18
"22",-3,7,16,1,-5,-2,7,-8,-0.0498047,0.12793,1.01074,2.3125,2.6875,-1.8125,93,92,163,-15,-3,-2,-2,-1,-2,-4,-24,0.868164,0.440918,0.199707,-17.75,88.375,29.75,116,31,22
"23",-3,-16,0,-8,-5,-6,-10,-20,-0.0180664,0.152344,1.00391,1.75,1.0625,0.5625,93,92,163,-16,-13,-1,-1,-2,6,4,1,0.900391,0.441406,0.300293,-35.4375,120.75,39.6875,112,32,26
"24",-1,6,-4,5,4,2,5,10,-0.03125,0.134277,1.01025,-1.6875,3.9375,3.0625,93,92,164,5,1,4,2,2,7,5,5,0.871582,0.364746,0.501465,-59.9375,188.812,53.75,105,39,33
"25",-3,-7,-22,-9,-3,-2,-3,1,-0.0742188,0.121094,1.01025,-9.6875,5.375,3,93,92,164,3,3,-2,1,-2,-1,-6,-6,0.818848,0.333496,0.624512,-84.75,225,70.6875,100,45,38
"26",4,3,-8,0,2,1,3,-14,-0.0610352,0.09375,1.00977,0,-1,0.5625,93,92,164,-4,-2,-3,5,0,0,-5,-18,0.5,0.187988,0.718262,-121.562,252.75,105.875,93,58,43
"27",-5,-23,-25,-9,-2,0,-3,9,-0.0546875,0.112793,1.01074,3.625,-4.1875,-2.6875,93,92,164,-2,-1,-8,-22,-9,-11,5,-3,0.101074,0.000488281,0.794434,-131,202.188,113.562,87,72,47
"28",-4,4,-16,-17,1,2,3,-1,0.165527,0.0585938,1.40527,14.0625,2.9375,32.8125,93,92,164,-24,2,1,-5,1,21,0,9,-0.0371094,-0.202637,0.894043,-106.938,150.5,108.5,85,79,49
"29",13,-21,-15,-9,-8,-5,-4,-10,-0.263184,0.183105,1.05957,0.625,6.75,-16.3125,93,93,163,20,8,2,2,2,6,-3,5,-0.153809,-0.328125,1.06934,-42.1875,68.4375,75.8125,82,86,51
"30",0,7,20,4,-3,-8,-10,2,-0.0317383,0.187988,0.918945,-36.75,-3.625,-3.0625,93,93,163,-5,-1,3,5,1,-1,2,14,-0.136719,-0.353027,1.09375,-5.1875,25.25,22.0625,82,89,51
"31",10,2,17,10,5,4,5,-5,-0.0996094,0.160645,1.01611,18.1875,4.375,-2.5625,93,93,163,12,3,4,7,0,3,0,6,-0.0268555,-0.198242,1.00586,32.0625,22.9375,6.5625,83,89,51
"32",0,-10,-22,-10,-2,0,-2,-3,-0.0644531,0.0766602,1,-2.625,-1.9375,-4.625,93,93,163,-10,0,-1,-1,-2,0,-7,-11,-0.0166016,-0.245117,1.04736,-23.9375,-1.3125,-5.0625,82,90,51
"33",-1,-4,-6,7,0,2,2,-1,-0.078125,0.126465,1.01025,11.3125,1.6875,-1.375,93,93,163,1,1,1,0,-2,0,-6,0,0.015625,-0.215332,0.929199,18.125,-0.4375,3.625,82,89,51
"34",0,-8,-5,-15,-4,-4,-5,-6,-0.0576172,0.141602,1,1.1875,0.5625,3.3125,93,93,163,10,-4,-1,-2,1,-4,1,0,0.0200195,-0.265137,0.994629,-8.8125,-3.375,-2.3125,82,89,51
"35",3,-1,30,4,-1,-7,-5,13,-0.0644531,0.135254,1.0127,3.3125,1.0625,1.4375,93,93,163,-12,-3,4,2,1,0,-7,-5,0.0332031,-0.205078,0.958496,8.5625,-6.0625,-0.3125,83,89,51
"36",-9,7,-9,-4,-5,-1,0,-1,-0.0576172,0.148438,1.00928,2.9375,0.8125,-0.9375,93,93,163,1,8,-6,-6,-4,4,7,-13,0.0268555,-0.26416,1.02393,-5.125,-4.375,-1.1875,82,89,51
"37",-3,3,-3,8,-1,-8,-3,-9,-0.065918,0.141113,1.01416,0.875,-0.0625,-1,94,93,163,-10,1,3,-3,0,-1,11,4,-0.000488281,-0.246094,1.00439,6.4375,-1.9375,-2.0625,83,89,51
"38",-12,0,1,0,-2,-1,1,-9,-0.0566406,0.153809,0.999512,0.5,0.3125,-0.6875,94,93,163,-11,-7,2,3,-2,-4,-6,-6,0.015625,-0.257324,1.01709,-0.9375,-0.625,-1.75,83,88,51
"39",-5,1,2,5,1,0,-4,-11,-0.0751953,0.141602,1.00781,-3.9375,1,-0.75,94,93,163,-2,-4,-1,-3,-2,-1,-3,4,0.0263672,-0.265625,1.00293,-0.4375,0,0.125,83,88,51
"40",-1,-3,1,3,-5,-5,-4,-3,-0.0800781,0.124023,1.00781,-1.3125,0.0625,1.0625,93,93,163,-3,1,1,3,-1,-4,-11,-7,0.03125,-0.270996,1.00342,-0.0625,0.25,0.3125,82,88,51
"41",-5,-17,-13,2,-2,-3,0,15,-0.0576172,0.137207,1.00488,-2.875,0.3125,2.0625,93,93,163,-2,3,1,0,1,2,0,-2,0.0322266,-0.242676,0.980957,-1.4375,0,0.25,82,88,51
"42",-13,4,2,-5,-1,-1,-3,-4,-0.0605469,0.135254,1.01172,-0.125,-0.125,0,93,93,163,5,1,-1,-2,-1,0,4,-6,0.027832,-0.243164,0.990723,-0.75,-1.25,-0.125,82,88,51
"43",1,16,36,18,3,1,1,-2,-0.0581055,0.138184,1.00488,-1,1,-1.625,93,93,163,2,0,1,-3,-1,-4,-7,3,0.0126953,-0.250977,0.996094,1.0625,-0.5625,1.75,82,88,51
"44",-11,-15,-20,3,-4,-4,-2,0,-0.0683594,0.130859,1.00781,-0.6875,0.625,-1.125,93,93,163,-5,-9,-3,2,1,-2,4,2,0.00195312,-0.259766,0.994629,2,0.0625,0,83,88,51
"45",8,8,-2,5,1,3,-1,-6,-0.0766602,0.13623,1.01318,-1.5,0.0625,-1.125,93,93,163,15,2,-1,0,-1,-4,-9,2,0.015625,-0.255371,0.996582,1.5,-0.5,0.375,83,88,51
"46",-2,-5,-4,6,1,-1,-3,8,-0.0683594,0.138672,1.00586,0.75,-1,1.9375,93,93,163,0,10,-1,-1,1,4,7,0,0.0180664,-0.246582,1.00488,1.5,1.25,-0.125,83,88,51
"47",-6,-9,-12,-7,-3,-1,1,-4,-0.059082,0.128906,1,-0.125,-0.125,0.75,93,93,163,-8,-10,-9,-8,-1,-1,-5,-5,0.0234375,-0.236816,0.998047,-0.25,-0.0625,-0.3125,83,88,51
"48",3,-1,-1,-7,1,1,-2,31,-0.0615234,0.138672,1.00586,1.25,0.125,0.5625,93,93,163,-4,2,3,1,1,6,-1,0,0.0205078,-0.236328,0.98584,-2.0625,-0.125,0.375,83,88,51
"49",-6,-5,0,1,-4,-3,-10,-7,-0.0678711,0.131836,1.00342,-0.125,0.5625,-0.375,93,93,163,0,0,1,2,1,-1,1,10,0.0126953,-0.262207,0.987305,-1.3125,0.125,0.5625,83,88,51
"50",-3,-1,2,-1,-1,-4,5,-2,-0.0644531,0.139648,1.00049,0.0625,0.0625,0,93,93,163,-8,2,0,3,-1,-2,-1,-5,0.0195312,-0.24707,0.996094,0.125,-0.4375,0.125,83,88,51
