"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.0644531","X0.135742","X1.04395","X14.875","X.4.0625","X0.25","X93","X94","X161","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.0449219","X.0.261719","X1.02588","X46.1875","X.128","X.74.6875","X85","X83","X50"
"16",10,9,-8,-2,-4,0,2,0,-0.0512695,0.21875,1.02783,10.625,1.875,0.0625,94,94,161,-10,-1,4,8,0,2,-4,-7,-0.0581055,-0.20752,0.788574,-86.5625,160.375,97.8125,83,80,50
"17",-8,9,1,-9,1,-5,-12,-14,-0.0576172,0.106445,0.976074,-7.75,-0.75,3.3125,94,94,161,6,-1,-6,-7,-4,-4,-5,8,-0.146973,-0.340332,0.911621,-44.5625,104.938,74.375,82,86,51
"18",-10,-9,8,-2,3,-1,-5,-24,-0.0078125,0.12207,1.01709,19.875,2.5625,-2.625,94,94,161,22,9,-1,-1,0,10,2,4,-0.188477,-0.408203,1.08691,20.9375,21,23.25,82,90,52
"19",33,-9,48,-2,-1,-3,0,22,-0.0717773,0.157715,1.01025,-1.1875,-2.8125,-4.1875,94,94,161,-2,-7,-7,-5,-4,3,-1,-17,0.0756836,-0.473145,1.14551,31.625,-30.6875,-27.4375,82,89,51
"20",-6,16,-5,-4,0,7,-1,-15,-0.0576172,0.138672,1.00098,-6.1875,-0.9375,1,94,94,161,14,1,0,2,1,4,0,7,0.0209961,-0.205566,1.02441,1.625,5.1875,2.8125,83,89,51
"21",-12,32,-1,-4,2,1,-4,-39,-0.0864258,0.161621,1.01318,2.5,2.75,1.9375,94,94,161,-11,1,-2,-2,-3,-6,0,-5,-0.0229492,-0.294434,1.04492,-21.1875,1.5,2.125,82,89,51
"22",-11,-18,0,3,-7,-2,-4,9,-0.0786133,0.130371,0.998535,-1.1875,2.875,0.5625,94,94,161,-6,-2,-6,-4,-4,-5,-9,-26,0.00439453,-0.21582,0.959473,13.0625,2.4375,-0.5,83,89,51
"23",-23,23,8,-15,-1,0,2,2,-0.0786133,0.16748,1.00488,4.3125,0.75,-0.625,94,94,161,1,-2,-2,-1,0,-1,10,19,0.0297852,-0.227539,0.970703,-1.6875,-0.6875,-2.75,83,89,51
"24",-2,-4,-22,-1,-2,-1,-5,0,-0.0605469,0.162598,1.00293,0.8125,0.3125,0.5625,94,94,161,7,0,1,0,0,3,1,5,0.027832,-0.226074,0.981934,2.6875,-5.75,-3.125,83,89,51
"25",-3,-3,35,15,2,0,0,8,-0.0737305,0.153809,0.999023,-0.1875,1.125,0.375,94,94,161,-2,-2,-2,1,-1,-3,-2,-9,0.027832,-0.238281,0.997559,3.5625,0.125,-0.8125,83,89,51
