"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.379883","X0.446777","X0.720703","X.83.625","X.2.6875","X6.4375","X100","X109","X67","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.486328","X.0.279785","X0.891602","X.3.5","X0.0625","X0.125","X81","X116","X95"
"33",-4,-5,-8,-2,-2,8,7,1,-0.291992,0.215332,1.00391,1.5625,-0.625,3.0625,94,106,70,15,-17,-1,27,-5,-3,-8,-6,-0.263184,0.369629,1.17969,41.1875,23.625,-131.375,94,105,122
"34",6,25,-17,-3,-1,2,9,13,-0.309082,0.208984,0.965332,-0.75,1.5,4.125,94,106,70,24,22,0,-45,14,12,6,21,-0.158691,0.34375,1.18506,44.5,2.5625,-145.562,94,106,119
"35",0,-6,-21,-4,-3,3,-2,8,-0.338379,0.206543,0.9375,10.6875,3.3125,3.625,95,106,70,-19,-52,46,127,30,8,5,16,0.196289,0.29834,1.07959,15.625,-18.9375,-139.625,93,106,115
"36",-13,4,21,3,2,-10,-13,-5,-0.325684,0.245117,0.922852,5,3.125,1.4375,95,107,71,46,34,50,59,35,11,10,19,0.383789,0.199219,0.992676,-14.1875,-54.25,-56.625,93,102,112
"37",-16,-4,1,2,-1,-16,-4,-8,-0.345215,0.207031,0.98291,19,5.75,3.0625,96,107,71,49,26,19,-23,11,23,12,28,0.533203,0.103027,0.902832,-36.625,-97.1875,5.3125,92,97,111
"38",-3,11,-25,-2,-1,-9,-7,-5,-0.251465,0.211914,1.01172,36.6875,10.9375,7.75,97,107,71,-4,3,65,6,3,-39,-4,2,0.518066,0.0239258,0.845703,-33.625,-126.125,62.5625,91,92,112
"39",5,-20,-12,-5,0,4,0,-5,-0.243652,0.192383,0.927734,11.5625,9.3125,2.5625,97,107,71,-7,-38,-21,-37,-10,-4,-4,-21,0.423828,0.0405273,0.857422,-4.875,-103.625,133.188,91,84,115
"40",-2,0,14,-3,-1,3,-2,3,-0.359375,0.256836,0.821777,1.75,2,0.25,97,108,71,-9,-14,-49,-59,-30,-34,-6,1,0.199707,0.15918,1.00195,21.4375,-31.1875,163.188,91,80,120
"41",14,25,44,16,5,15,8,0,-0.339844,0.447754,0.782715,-11.625,-5.25,-11.75,97,108,71,-2,10,-12,-7,-9,-15,-11,37,0.0551758,0.186523,1.01807,13.1875,7.3125,153.438,91,80,123
"42",-5,4,-31,-3,-3,1,-5,9,-0.277832,0.241211,1.01025,-7.6875,-7.5625,-5.8125,97,107,71,-9,-1,8,-19,-5,22,-4,-7,0.0996094,0.109375,1.04688,-6.375,42.5,144.562,90,81,126
"43",-8,-1,5,1,1,-4,-2,-6,-0.327148,0.0102539,0.941895,-34.625,-9.8125,0.5625,95,107,70,11,-16,-1,-4,-9,-4,13,1,-0.550293,0.194824,0.948242,2.9375,79.9375,33,91,87,128
"44",-1,8,18,-2,-1,-5,-3,-8,-0.320801,0.248535,0.963867,14.0625,-7.8125,-6.375,95,107,70,-17,-10,6,13,0,-6,-31,-9,-0.772949,0.157715,0.974609,58.625,90.6875,-26,92,95,128
"45",-15,-11,-21,-9,-7,-17,-10,-5,-0.275879,0.137207,0.992676,-26.1875,-3.4375,-3.25,95,106,70,10,-39,28,47,15,3,14,9,-0.475586,0.327637,1.06299,56.8125,66.6875,-42.3125,93,99,128
"46",-7,4,0,-1,-1,-4,9,-2,-0.279785,0.137207,0.989746,-6.6875,-3.125,0.3125,94,106,70,5,39,25,25,0,-1,-17,4,-0.490234,0.186035,1.09521,24.25,40,-105.562,94,103,125
"47",8,16,57,6,3,8,-1,2,-0.296875,0.154297,0.982422,-2.625,-2.125,1,94,106,70,60,100,-2,-18,-7,-4,-4,1,-0.310547,0.356445,1.17822,35.125,16.125,-116.625,94,105,123
"48",6,17,56,3,0,4,-8,-2,-0.308105,0.18457,0.958008,-1.4375,0.625,1.4375,94,106,70,-61,9,-52,-44,-1,1,1,-11,-0.191406,0.425293,1.10938,73.5,-4.25,-135.375,95,107,119
"49",-5,2,-9,-5,-1,-1,-9,-4,-0.333008,0.199219,0.953125,4.5,2.3125,1.8125,94,106,70,19,18,-6,-53,-13,5,-8,14,0.0126953,0.388184,1.04883,52.5,-31.3125,-144.938,95,106,116
"50",-10,-10,6,-4,-3,-1,-4,-9,-0.295898,0.157227,0.975586,9.625,3.9375,0.8125,95,107,70,2,3,10,-1,-4,-1,-4,-6,0.217285,0.318359,0.904785,27.6875,-43.4375,-100.188,95,105,112
