"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.166016","X.0.20166","X0.979492","X9.75","X9.25","X.11.125","X83","X97","X97.1","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.203613","X0.015625","X1.03369","X10.25","X12.3125","X.2.25","X89","X98","X95"
"26",5,-6,1,-3,-3,-3,1,-3,0.306641,-0.296875,0.952148,10.125,10.25,8.8125,80,74,91,-2,-9,-14,-16,-14,-56,2,14,0.625488,0.28125,1.27051,-28.375,-56.8125,24,97,69,105
"27",4,-6,6,9,8,6,3,-1,0.244629,-0.302734,0.980957,12.25,24.5,3,81,75,91,1,9,2,2,8,47,7,-28,0.769531,0.211426,1.31836,-88.4375,-81.5625,42.4375,96,65,105
"28",-4,-5,1,3,-1,8,5,0,0.228516,-0.34668,0.993652,18.625,21.3125,3.5,81,76,91,17,-21,-4,-7,-5,-20,-30,-7,0.751953,0.0439453,1.12695,-173.125,-80.4375,48.75,91,60,107
"29",-7,-11,0,1,-4,-12,-6,-9,0.177246,-0.340332,0.983398,33.8125,10.9375,0.5625,81,77,90,-16,4,-2,1,5,-6,13,47,0.683594,0.134766,0.963379,-241.125,-44.875,59.5625,86,58,108
"30",8,-2,-2,5,4,3,1,3,0.236816,-0.275391,0.960938,36.875,-6.375,-13.4375,83,77,90,-71,-6,-2,2,2,5,14,-108,0.541016,-0.256836,0.756348,-212.438,49.875,83.625,77,60,110
"31",-18,2,-12,-10,-8,-6,-5,-5,0.247559,-0.286133,0.963867,22.6875,-17.6875,-17.8125,83,76,90,-41,-17,-3,-2,-1,-37,1,-13,0.276855,-0.0620117,0.537598,-165.125,123.188,73.6875,72,67,111
"32",-6,1,1,-2,-2,1,-4,0,0.265137,-0.181641,0.948242,28.375,-21.3125,-20.25,84,75,90,-24,-4,-9,-9,-13,-54,-48,-25,0.116699,-0.150391,0.45166,-193.562,122.5,68.5625,69,73,110
"33",1,4,-6,-17,-3,-7,-8,1,0.29248,-0.13916,0.932129,17.25,-16.25,-13.6875,85,73,89,-39,-25,-2,-1,-6,-18,-4,-34,-0.0893555,-0.530273,0.431641,-169.688,88.8125,79,63,81,109
"34",-1,0,7,4,4,33,9,3,0.248535,-0.0991211,0.903809,18.25,-7,-4.1875,85,73,89,-16,-16,-6,-2,-3,-9,-5,60,-0.115723,-0.688477,0.384277,-123,57.0625,63.125,61,85,109
"35",3,8,26,1,0,-2,-3,-1,0.259766,-0.103027,0.919922,6.75,-6.6875,2.625,86,73,89,-14,17,2,6,3,-6,2,19,-0.147949,-0.846191,0.408203,-24.8125,2.5625,28.25,59,88,109
"36",1,-9,1,4,-2,-1,-9,-7,0.259766,-0.127441,0.925781,5.4375,-3.75,11.5,86,72,89,11,13,2,-2,3,1,17,4,-0.0615234,-0.893066,0.464355,12.4375,-12.1875,10.75,59,89,110
"37",-4,-4,-31,-11,-9,-8,-3,-3,0.254395,-0.097168,0.946777,-3.6875,-2.3125,19,86,73,90,-6,-2,0,-2,-1,-23,-5,-31,0.0737305,-0.825684,0.518066,39.625,-13.8125,4.4375,60,88,110
"38",3,3,9,-6,-6,-7,-5,-4,0.278809,-0.144043,0.942383,-4,0.25,21.75,85,73,90,-9,-2,-2,-5,-9,-6,-7,8,0.116211,-0.910645,0.564941,10.625,4.6875,-1.5625,60,88,110
"39",2,5,-3,-3,-4,-3,-4,-5,0.335938,-0.199219,0.952148,1.375,2.1875,6.75,85,73,90,-4,-2,1,3,5,2,-7,34,0.0625,-0.880859,0.644043,19.4375,4.9375,-0.5625,61,88,110
"40",8,6,-16,-2,-3,-1,2,4,0.299805,-0.171875,0.92627,0.9375,3.5,3.0625,85,73,91,-3,1,1,3,5,-4,-6,-74,0.03125,-0.89502,0.64209,3.625,6.4375,2.0625,61,88,110
"41",-2,-2,5,0,1,-3,-4,1,0.285156,-0.171387,0.947266,1.6875,1.5625,1.5625,85,73,91,2,2,1,1,-2,-20,13,6,0.0283203,-0.868652,0.614746,3.4375,2.4375,3.3125,61,88,110
"42",-2,0,-5,-3,0,1,2,1,0.291992,-0.156738,0.961426,-7.375,-2,2.75,85,73,91,-3,0,-1,-4,-2,-4,-4,-28,0.0317383,-0.880371,0.592773,1.5625,2.1875,-1.5625,61,88,110
"43",-14,1,-5,-7,-2,-4,0,1,0.303223,-0.163574,0.969727,-4.0625,-4.375,1.1875,85,73,91,3,-1,-3,-1,0,1,-9,-16,0.0405273,-0.844238,0.59668,-0.25,0.375,-0.25,61,88,110
"44",-14,-6,-9,-9,-4,-3,-3,-6,0.294922,-0.165039,0.966797,-3.4375,-2.5625,-0.0625,85,73,91,-10,-3,-3,0,0,-9,-2,37,0.043457,-0.85498,0.583984,-0.0625,-0.625,-1.5,61,88,110
"45",-1,-4,-7,-4,2,1,-1,1,0.287109,-0.151855,0.970703,0.1875,-1.5,-0.75,85,73,91,-12,0,-1,-4,-4,2,-6,-34,0.0385742,-0.841309,0.595703,0.125,-0.75,-0.375,61,88,110
"46",1,-2,6,-1,-1,0,-3,0,0.281738,-0.160156,0.955566,-1.1875,0,-1.1875,85,73,91,3,1,1,2,2,1,1,7,0.0341797,-0.838379,0.586914,-1.9375,0.0625,-0.8125,61,88,110
"47",2,2,2,3,0,1,-1,-2,0.291992,-0.156738,0.945312,1.0625,-0.0625,-0.4375,85,73,91,11,-2,-1,0,1,8,-6,-13,0.0419922,-0.849609,0.585449,1.625,-2,0.375,61,88,110
"48",-2,-3,-1,-2,-1,0,-2,0,0.294922,-0.159668,0.947754,0,-0.0625,-1.0625,85,73,91,8,2,1,-1,-2,-9,-3,-11,0.0429688,-0.848633,0.592285,-1.8125,-0.1875,-0.625,61,88,110
"49",-2,3,2,3,4,1,0,2,0.294434,-0.166992,0.955566,0.75,0.0625,0,85,73,91,1,4,2,2,4,22,6,1,0.0405273,-0.84375,0.592285,-0.875,-0.375,0.4375,62,88,110
"50",30,-5,2,-4,-3,-1,-3,-3,0.29541,-0.15918,0.951172,-0.1875,0.8125,0.0625,85,73,91,-1,3,0,2,0,-1,-7,1,0.0405273,-0.852051,0.594238,-0.375,-0.1875,0.375,62,88,110
