"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.167969","X.0.074707","X0.980957","X.0.3125","X.0.125","X.1.125","X88","X100","X141","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.439941","X0.376465","X0.808105","X.0.0625","X1.125","X.0.8125","X102","X63","X39"
"26",1,-23,-26,-6,-6,-5,2,6,-0.183105,-0.0283203,1.00928,0.3125,-0.4375,0.6875,88,100,141,4,1,-3,3,-26,-2,1,3,0.250488,0.510254,0.925293,24.1875,-140.938,-73.5625,98,78,46
"27",5,32,38,1,2,1,-4,0,-0.182617,-0.0361328,1.01172,1.3125,0.6875,0.1875,88,100,141,1,1,2,-1,7,-34,-16,-9,0.337402,0.540527,0.76709,3.875,-150.625,-37.25,100,71,43
"28",-8,-6,-14,-3,1,-3,-4,1,-0.183105,-0.0332031,1.01807,1.25,2.3125,-0.4375,89,100,141,1,1,-1,3,34,-11,10,15,0.362305,0.472656,0.715332,-10.6875,-140.062,-26.8125,100,66,41
"29",-31,-7,-14,-8,-4,-4,-1,-12,-0.18457,-0.0341797,1.00049,1.8125,2.625,0,89,100,141,1,1,-1,-1,44,19,8,-6,0.38623,0.382324,0.667969,-21.5625,-81.875,-13.8125,101,60,39
"30",-10,4,-33,-3,0,-1,-9,-21,-0.1875,-0.0273438,0.994141,1.9375,2.5625,0.125,89,100,141,3,1,2,0,-4,0,-3,-8,0.387207,0.345215,0.601074,-15.1875,-15.375,-2.875,101,58,38
"31",-3,11,1,1,-1,3,-9,0,-0.193848,-0.0234375,0.986816,-0.375,1.25,-0.1875,89,100,141,1,5,5,5,17,8,4,4,0.365234,0.405762,0.571777,-16.9375,20.4375,1.25,100,59,38
"32",-3,-8,7,-2,-1,-2,-6,-6,-0.192383,-0.0351562,0.994141,0.3125,0,-0.1875,89,100,141,5,1,-2,-4,-7,-9,-6,0,0.385254,0.407715,0.596191,-15,60.125,8.8125,100,62,39
"33",23,18,-13,4,0,-6,10,5,-0.193359,-0.0361328,1.00586,0,0.375,0.6875,89,100,141,3,3,2,2,9,16,5,9,0.402832,0.415039,0.689941,-11.1875,77.375,15.5625,100,64,40
"34",-13,-17,0,-8,-4,9,31,0,-0.200195,-0.0439453,0.99707,-2.375,1,2.1875,89,100,141,-17,-5,5,7,-19,-7,-9,-17,0.408691,0.481934,0.794434,-19.375,99.8125,36.9375,99,69,41
"35",8,-2,10,-2,-2,-4,-7,1,-0.1875,-0.0327148,1.00635,0.3125,0.875,2.1875,89,100,141,4,8,5,2,5,4,1,8,0.392578,0.446289,0.898438,-35.4375,108.938,57.125,98,72,43
"36",-46,-47,-22,-9,-3,-3,-6,-11,-0.193848,-0.0288086,1.00537,0.5,2.25,1.5,89,100,141,4,1,8,0,11,-6,4,2,0.327637,0.333496,1.03223,-27.625,120.312,87.625,96,78,46
"37",21,-1,27,9,3,6,14,15,-0.1875,-0.0288086,0.997559,0.6875,1.8125,1,89,101,141,-3,5,1,1,-3,-17,-6,-12,0.291992,0.323242,1.08691,-41.0625,115.625,115.125,95,81,49
"38",6,4,4,5,0,-2,1,-7,-0.195312,-0.0219727,0.98877,-0.75,0.875,0.375,89,101,141,9,-1,-1,0,5,7,-8,-4,0.17334,0.245605,1.11621,-36,105.25,149.125,93,86,54
"39",2,-12,1,2,1,-1,2,-6,-0.194336,-0.0283203,0.995605,-1.0625,-1.0625,-0.375,89,101,141,4,2,2,0,39,15,1,-1,0.0512695,0.166504,1.12988,-43.6875,70.1875,149.562,92,89,57
