"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.289062","X.0.260254","X0.924805","X.5.875","X.67.4375","X.32.9375","X81","X76","X135","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.143066","X0.0507812","X1.08154","X.7.5625","X9.4375","X.2.125","X90","X98","X63"
"16",-19,-22,-11,-10,-8,0,3,25,0.420898,-0.330566,0.881836,-1.375,1.625,-3.25,79,64,143,-15,-3,-7,5,31,-11,-10,-22,0.279785,0.632812,0.87207,21.8125,19,-29.4375,103,80,48
"17",-21,-7,-4,-9,-1,-4,-14,-27,0.419434,-0.328125,0.865723,-2.0625,0.875,-0.875,79,64,143,19,0,-1,5,21,-5,-25,-5,0.24707,0.553711,0.951172,-24.9375,5.5,-8.1875,104,80,48
"18",-6,-9,0,-4,1,-2,-8,-4,0.418457,-0.341309,0.851562,-1,0.75,-0.375,79,64,143,-10,-8,-3,8,11,13,-10,-15,0.22168,0.495605,0.945801,7.375,6.5,4.4375,103,80,48
"19",5,5,24,9,1,-1,2,6,0.42041,-0.341309,0.853516,-0.1875,0.4375,-0.625,79,64,143,-6,-7,-7,-12,-6,21,29,-12,0.168945,0.534668,0.90625,-1.375,3.625,6.75,104,80,48
"20",-39,12,-17,-1,5,0,-4,-11,0.416992,-0.349121,0.85791,-0.1875,1.125,-0.8125,79,64,143,12,3,0,6,3,0,-7,10,0.171875,0.464844,0.892578,4.875,1.75,11.125,103,80,48
"21",5,-17,11,-4,-9,-13,-4,-12,0.426758,-0.354004,0.858398,-0.625,1.5,-0.6875,79,64,143,-6,0,-2,-1,1,23,-22,-36,0.131836,0.462402,0.900391,-8.625,1.0625,5.8125,103,80,48
"22",66,-12,8,-6,-6,-7,2,64,0.415039,-0.354492,0.85498,-1,0.8125,-0.375,79,65,143,27,14,8,6,4,-8,94,23,0.143066,0.498535,0.883301,7.9375,0.8125,4.375,103,80,48
"23",-10,-6,24,-5,1,1,-3,-8,0.420898,-0.349609,0.852539,-1,0.375,-1.375,79,65,143,-7,-2,2,-4,0,-6,-14,-15,0.146484,0.444336,0.896973,-5.75,1.25,1.8125,103,80,49
"24",-21,5,-12,8,0,-4,-3,15,0.415527,-0.353516,0.862793,-0.6875,-0.1875,-1.75,79,65,143,-18,-9,-2,3,0,-11,-29,-6,0.145996,0.483887,0.882812,-1.3125,1.6875,0.875,103,80,49
"25",1,-17,-17,10,6,1,-11,-24,0.42334,-0.342773,0.851562,-0.375,0.4375,-1.375,79,65,143,-2,-2,0,7,4,3,9,-2,0.143555,0.463379,0.898926,-0.4375,0.5,0.4375,103,80,49
"26",1,-2,-14,-4,1,-1,8,16,0.415039,-0.350586,0.859863,-0.8125,1.5625,-1.5,79,65,143,-5,1,3,1,3,-6,-7,-2,0.141113,0.480957,0.887207,-1.1875,1.25,1,103,80,49
"27",4,2,0,9,2,9,23,45,0.407715,-0.34375,0.851562,0.0625,2.125,-0.75,79,65,143,3,2,-1,15,8,-15,-4,4,0.144043,0.461914,0.88916,-1,0.625,2.0625,103,80,49
"28",-33,-54,-1,-4,-9,-11,-5,-25,0.418457,-0.349121,0.856934,0.25,0.625,-0.625,79,65,143,-12,-4,-3,0,5,20,-1,-11,0.143555,0.480469,0.891113,-3.3125,0.75,1.625,103,81,49
"29",-20,15,5,-14,-10,-4,-9,-5,0.422363,-0.351074,0.859375,0.0625,-0.0625,-0.875,79,65,143,-2,2,-1,-12,-3,4,15,-7,0.146484,0.455078,0.904297,-2.1875,0.25,2.25,103,81,49
"30",9,2,-6,-5,-1,10,3,-17,0.419922,-0.351074,0.863281,0.0625,-0.0625,-1.25,79,65,143,-21,-5,0,-4,2,-4,0,-23,0.15332,0.473145,0.892578,-1.125,0.4375,3.1875,103,80,49
"31",-3,-7,23,3,3,1,-2,8,0.417969,-0.337402,0.855469,0.875,0.25,-0.9375,79,65,143,8,6,3,18,12,7,-3,12,0.146484,0.444336,0.898926,-4.125,-0.5625,0.875,103,80,49
"32",-44,-9,-3,2,1,4,11,-1,0.413086,-0.350586,0.853027,-0.25,0.5,-0.5,79,65,143,6,-5,-4,-8,1,12,3,1,0.151367,0.463379,0.890625,2.125,-0.375,0.375,103,80,49
"33",43,-32,9,11,0,0,-6,-5,0.412598,-0.349121,0.869141,0.1875,1.4375,-0.3125,79,65,143,-2,0,-1,-6,-4,-10,-18,5,0.144043,0.456055,0.896973,-3.1875,-1.3125,0.3125,103,80,49
"34",5,5,12,7,0,4,-8,-4,0.415039,-0.343262,0.855469,0,1.875,-0.5,79,65,143,9,2,1,5,12,-1,-8,15,0.151855,0.469238,0.892578,0.3125,-1.0625,1.1875,103,80,49
"35",17,-14,-19,-1,-3,-4,-5,-3,0.418457,-0.347168,0.862305,0.375,0.8125,-0.3125,79,65,143,-4,-5,-4,-12,-11,-14,-1,12,0.155273,0.450684,0.899414,-1,0.25,0.5625,103,80,49
"36",-6,-6,-3,-5,1,5,-3,-24,0.413086,-0.349609,0.859375,-0.75,-0.0625,-0.9375,79,65,143,-10,-3,0,14,1,-11,8,-12,0.15332,0.464355,0.895996,-1.25,0.1875,1,103,80,49
"37",0,2,-5,6,3,4,7,42,0.421875,-0.349121,0.854492,0.375,0.6875,-0.75,79,65,143,-5,2,1,0,-3,-12,-26,-5,0.151367,0.456055,0.891113,-0.0625,-0.25,1.25,103,80,49
"38",11,20,-13,-6,0,0,13,60,0.407715,-0.345703,0.859863,0.9375,0.8125,-1.0625,79,65,143,-10,-3,0,5,-8,-6,3,1,0.153809,0.458984,0.893555,-0.875,0.6875,0.9375,103,80,49
"39",-3,-12,-3,-11,-5,-2,-4,-31,0.410156,-0.343262,0.859375,-0.4375,0.9375,-0.5625,79,65,143,3,-1,-1,19,12,2,2,11,0.147461,0.454102,0.899902,0.125,1.125,0.8125,103,81,49
"40",-24,4,8,-4,1,-2,-1,-13,0.410156,-0.337402,0.858887,-0.5625,0.875,-0.8125,79,65,143,-19,-8,-3,-8,0,9,-23,-23,0.151367,0.457031,0.900391,-0.875,0.0625,-0.3125,103,81,49
