"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.543945","X0.0874023","X0.807129","X.15.875","X.30","X.27.3125","X96","X110","X72","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.301758","X.0.247559","X0.992188","X.6.1875","X0.4375","X0.375","X82","X106","X91"
"24",19,-14,-7,-7,1,16,3,-2,0.44873,-0.590332,0.641113,10.5625,-5.5625,110.125,73,58,106,0,1,1,2,1,-2,-4,2,0.506348,-0.0585938,0.699707,-59.5,-23.6875,-112.188,83,50,81
"25",-24,-40,-4,8,-1,-13,-5,8,0.413086,-0.642578,0.637207,15.3125,2.625,102.562,72,61,109,-6,0,-2,0,-2,-5,-5,5,0.528809,-0.0151367,0.668457,-49.625,-13.625,-114.312,84,48,78
"26",9,27,5,3,-2,-3,-3,-4,0.350098,-0.666016,0.632812,3.0625,7.25,96.5,71,64,111,-1,-5,0,-3,0,-4,2,1,0.583496,0.027832,0.683105,-48.3125,-5.5625,-115.312,85,47,75
"27",-49,3,0,1,4,-3,-7,-5,0.296387,-0.697754,0.625488,-6.0625,9.9375,89.875,70,68,113,0,1,0,3,2,-2,-4,4,0.58252,0.0756836,0.666504,-42.5,12.25,-114.5,87,47,70
"28",5,15,7,8,2,-3,-4,3,0.275391,-0.730957,0.625488,-17.25,10.75,82.6875,69,71,115,-1,-3,1,-2,-1,13,-2,-1,0.543457,0.117188,0.675293,-35.1875,22.875,-108.812,89,48,66
"29",-48,-16,-1,-3,-5,-10,-3,-16,0.237305,-0.765625,0.654785,-5,17.75,68.1875,68,75,116,-1,-4,3,5,1,6,2,3,0.530273,0.16748,0.705078,-27.1875,26.375,-103.062,91,49,63
"30",29,21,0,-18,-7,9,-1,-1,0.194824,-0.794922,0.65918,-5,21.25,60.625,67,77,117,-2,7,-1,3,6,1,0,-6,0.517578,0.22168,0.742676,-19,32.5,-91.4375,93,52,59
"31",13,32,18,11,5,-8,3,-1,0.186523,-0.803711,0.73291,2.375,27.875,51,67,80,117,0,6,5,6,1,-35,-17,-5,0.499512,0.251465,0.766113,-10.9375,34.9375,-83.6875,94,53,57
"32",3,6,-3,1,-5,-16,-5,-1,0.119141,-0.822266,0.730957,13,28.9375,45.5625,67,82,118,-7,-25,-3,4,3,2,11,0,0.428711,0.266602,0.741211,2.25,36.6875,-71.6875,95,57,54
"33",3,-18,-6,-11,-2,-16,-5,-4,0.0844727,-0.821289,0.778809,-2.8125,26.3125,36.6875,67,85,118,0,3,-2,-6,-2,-4,2,-2,0.430176,0.344727,0.783203,17.1875,38.0625,-59.0625,97,59,53
"34",-18,21,-8,-1,-6,-1,12,2,0.0961914,-0.835938,0.788574,-3.25,19.4375,28.4375,67,87,118,0,13,2,0,0,0,-5,-2,0.398438,0.351562,0.807129,6.6875,43.6875,-47,98,62,51
"35",25,17,-4,3,2,16,2,-3,0.0385742,-0.797852,0.78418,2.75,8.0625,10.5625,67,88,118,-1,-1,-4,-2,-4,-5,-1,0,0.356445,0.369629,0.828613,-3.125,48.25,-35.4375,98,65,51
"36",9,-20,5,11,2,-11,-9,-6,0.0317383,-0.782715,0.751953,8.9375,-1.75,-1.9375,67,88,118,5,-8,-8,-12,-4,-9,3,4,0.365234,0.361816,0.965332,-29.125,55.3125,-22.8125,98,70,50
"37",-7,-14,-9,-17,-9,6,-3,-3,0.0405273,-0.748535,0.750488,3.5625,-3.125,-7.625,67,88,118,-2,-6,-2,4,1,6,4,-1,0.262695,0.3125,0.995605,-15.1875,51,-18,97,72,50
"38",-27,17,-3,-6,-3,-2,2,-2,0.0332031,-0.73877,0.722656,4.5,-3.875,-8.875,67,87,118,0,3,1,-5,-1,0,4,0,0.259766,0.347168,1.04883,-6.1875,44,-13.625,97,74,50
"39",-13,-15,-4,-2,-2,4,-8,-6,0.0415039,-0.708496,0.730957,0.375,-4.375,-8.25,67,87,118,-1,5,0,-3,-2,-21,7,0,0.178223,0.281738,1.07812,-0.25,24.4375,-6.5625,97,77,50
"40",-11,-5,-1,3,1,12,1,13,0.0541992,-0.694824,0.737305,0,-2.6875,-6.375,67,86,118,2,-1,2,3,-1,-14,-21,-5,0.191406,0.318359,1.08105,-0.625,14.1875,1.3125,97,78,50
"41",-6,11,-5,-10,-6,-7,-3,10,0.0454102,-0.695312,0.724121,-0.8125,-0.875,-4.4375,67,86,118,2,5,1,-2,0,17,0,0,0.174805,0.26416,1.05322,-5.1875,3.125,3.9375,97,78,50
"42",18,-5,-5,4,5,22,-10,0,0.050293,-0.692383,0.733398,0.5625,-0.6875,-2.9375,67,86,118,0,2,4,1,4,27,4,0,0.172363,0.250488,1.02051,-3.5625,-2.1875,6.375,97,78,50
"43",7,18,1,0,-10,-32,2,-6,0.0498047,-0.701172,0.739258,2,0.4375,-2.5625,68,86,118,-1,-5,-2,2,-2,-17,5,0,0.174316,0.234375,0.992676,-2.8125,-4.625,5.9375,97,78,51
"44",-4,-5,1,-2,-2,-3,-11,-18,0.0458984,-0.691406,0.735352,1.1875,0.875,-1.4375,68,86,118,-2,-4,0,2,0,5,4,0,0.17627,0.229492,0.981445,-2.4375,-4.375,4.5625,97,78,51
"45",-12,-17,-8,-3,-3,-3,-2,-9,0.0673828,-0.700195,0.739746,1.1875,1.6875,1.25,68,86,118,1,-2,-1,-2,-3,-4,-6,-2,0.184082,0.225586,0.97168,0.5,-3.125,2.5625,96,78,51
"46",42,11,-1,-7,0,2,10,11,0.0493164,-0.69873,0.744629,-0.0625,1.0625,1.125,68,86,118,-2,4,-1,-3,-1,-8,-13,-3,0.1875,0.214355,0.965332,-0.6875,-1.75,1.375,96,78,51
"47",-16,3,-1,-3,-3,0,-10,-14,0.0576172,-0.708496,0.75,-0.1875,-0.4375,0.5,68,86,118,0,1,-2,0,0,-5,-10,-1,0.193359,0.230469,0.961914,-1.875,-0.8125,0.4375,96,78,51
"48",-2,-61,-12,-6,-5,-17,-8,-1,0.0473633,-0.707031,0.733887,1.0625,-0.4375,1,68,86,118,-8,-15,-11,-11,-4,-6,0,-2,0.195312,0.231934,0.961914,-1.0625,-0.5,-0.5625,96,78,51
"49",-24,-1,2,3,-3,-13,2,11,0.0571289,-0.713867,0.739258,0.3125,-1.125,0.75,68,86,118,-1,-10,1,2,-1,-4,-2,0,0.191895,0.22168,0.964844,-1.9375,0.4375,-0.1875,96,78,51
"50",-22,-8,-10,-9,-3,-9,0,5,0.046875,-0.698242,0.73584,-1,-1.625,0.25,68,86,118,0,0,-3,-2,-1,6,-6,2,0.199219,0.241699,0.976562,-1.6875,1.0625,-0.875,96,78,51
