"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.209961","X.0.0170898","X0.998047","X1.1875","X3.8125","X.1.9375","X89","X101","X138","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.259277","X0.111816","X1.01123","X.0.0625","X1.0625","X0.8","X93","X104","X55"
"12",-20,-14,-2,-1,-2,-10,6,-8,-0.20459,-0.0166016,1.00781,0.875,0.625,0.3125,89,101,138,0,-1,-2,-1,-2,-12,-8,-11,0.599609,-0.350586,0.22998,-62.75,-97.75,60.9375,61,31,87
"13",8,-24,1,-3,-1,-8,-15,-3,-0.204102,-0.0102539,0.99707,0.0625,1.25,-0.75,89,101,138,4,2,2,5,-8,8,7,7,0.619141,-0.380859,0.178223,-42.125,-70.0625,45.5,57,31,90
"14",5,1,-5,0,2,7,1,1,-0.205566,-0.015625,0.986328,-0.75,1.1875,-1.5625,89,101,138,-3,0,1,-1,0,-19,-8,-5,0.674316,-0.458984,0.124023,-32.875,-34.125,30.125,54,32,94
"15",0,-3,11,-2,-4,-21,-1,-6,-0.20459,-0.027832,0.991211,-0.6875,0.4375,-1.4375,89,101,138,6,0,2,2,-21,32,7,34,0.719727,-0.518555,0.117188,-15.0625,-12.6875,19.375,52,33,94
"16",-2,3,6,-3,-4,-9,-8,0,-0.206055,-0.0244141,1.00049,-0.8125,-0.1875,-0.8125,89,101,138,2,-5,-7,-4,88,-7,23,42,0.743652,-0.511719,0.109375,-9.0625,-2.6875,25.875,52,35,95
"17",5,0,5,-1,0,-2,1,-1,-0.20166,-0.0200195,1.00195,-0.9375,0.25,-0.5,89,101,138,-8,-8,-7,-19,49,-43,-29,-48,0.78418,-0.615234,0.0961914,-10.25,5.875,3.5625,51,36,95
"18",-8,-19,-9,-1,-1,-2,-6,-3,-0.206543,-0.0244141,0.993164,-0.3125,-0.3125,-0.4375,89,101,138,-1,0,-8,-11,76,-23,3,-22,0.806641,-0.599121,0.126465,-5.5625,2.375,-9.5625,51,35,95
"19",20,25,-7,1,1,9,-3,1,-0.206055,-0.0283203,0.992676,-0.75,-0.4375,-0.4375,89,101,138,-2,-2,-3,-9,16,-2,4,-13,0.771484,-0.493164,0.102051,0.5625,-3.1875,-8.1875,51,35,95
"20",-16,-11,14,4,4,-3,-3,-3,-0.207031,-0.0249023,1.00342,0.25,0.125,0.375,89,101,138,7,8,11,8,-26,19,3,2,0.754883,-0.547852,0.0986328,-8.8125,-12.3125,-5.25,51,35,95
"21",-2,-7,-19,-6,-5,-21,3,4,-0.206055,-0.0161133,0.991211,-0.125,-0.0625,0.375,89,101,138,5,-4,-4,-6,-18,-34,8,27,0.785156,-0.574219,0.0991211,4.3125,-0.125,2.4375,50,35,96
"22",-5,3,-2,-4,-4,-12,-2,-3,-0.205078,-0.0200195,0.997559,-0.25,-0.75,-0.25,89,101,138,-59,-11,-2,5,-9,-6,12,-37,0.793457,-0.569336,0.12793,-0.8125,-11.1875,-12.5,50,34,96
"23",-5,-22,-7,0,-1,-3,-3,-4,-0.208496,-0.0273438,1.00684,0.1875,-0.375,-0.25,89,101,138,-2,1,2,-4,9,10,-77,-9,0.865723,-0.508789,0.0341797,37.625,34.6875,22.375,51,34,96
"24",6,7,4,1,0,1,14,6,-0.20752,-0.0239258,1.00439,-0.8125,0.75,0.25,89,101,138,-17,-8,-7,-5,-14,-11,43,0,0.741699,-0.620605,0.246094,10.875,27.5625,19.4375,53,37,94
"25",14,10,-12,3,3,13,-4,7,-0.20459,-0.0175781,0.993652,-0.125,0.9375,0.125,89,101,138,15,0,-3,-3,14,28,23,1,0.84668,-0.59668,0.21875,11.125,-0.3125,1.4375,53,37,94
"26",-20,-44,-16,-3,-3,-1,-2,-6,-0.20166,-0.0180664,0.997559,-1.1875,-0.125,-1.0625,89,101,138,-6,-4,-2,-1,-6,2,-15,2,0.832031,-0.57959,0.203125,12.625,-2.375,2.75,54,37,94
"27",-13,4,-20,-1,0,0,3,-6,-0.204102,-0.027832,0.99707,-2.3125,-0.6875,-1.25,89,101,138,-6,0,0,1,-17,12,2,-1,0.831543,-0.599121,0.208496,-6.4375,-7,3,53,37,94
"28",2,-2,-11,-1,-1,-6,-4,0,-0.203613,-0.03125,0.994141,-0.5,-0.875,-1.1875,89,101,138,-7,-10,-14,-30,7,-27,-13,-11,0.785645,-0.587891,0.203125,-0.625,0.5,5.125,53,37,94
"29",0,2,5,-2,-1,-2,4,0,-0.203613,-0.0336914,1.00098,-0.9375,0.5,-0.6875,89,101,138,-5,-2,-2,-11,2,52,9,-10,0.75293,-0.554688,0.193359,-10.6875,-7.125,4.8125,53,38,94
"30",27,29,6,3,4,2,5,8,-0.20166,-0.0341797,0.998535,0.25,0.5,0.5,89,101,138,-3,2,8,22,43,7,-4,-22,0.803223,-0.63623,0.143066,-26.3125,-13.8125,-2.4375,52,37,95
"31",-15,-16,-22,-2,0,-2,-5,-4,-0.20459,-0.0214844,0.996094,0.4375,0.25,0.0625,89,101,138,-9,-10,-21,-39,100,10,-29,-14,0.805664,-0.534668,0.0898438,-21.75,-30.9375,-26.5,51,36,96
"32",-33,5,0,0,-1,0,-3,-6,-0.205078,-0.0302734,0.996582,-0.125,-0.1875,-0.1875,89,101,138,-10,-11,-17,-24,-6,5,-28,-27,0.785645,-0.560547,0.125488,-20.0625,-38.5625,-18.375,49,35,97
"33",4,-12,-10,-1,-2,-5,-3,-2,-0.202637,-0.0332031,1.00049,0,-0.375,0.0625,89,101,138,3,3,1,-2,-34,16,6,17,0.811523,-0.560059,0.0546875,-16.6875,-32.9375,-7.0625,47,34,98
"34",-7,-9,-6,-1,0,4,-14,0,-0.209961,-0.0292969,0.999023,-0.875,-0.125,-0.25,89,101,138,-2,-3,-1,-1,3,7,33,10,0.801758,-0.566895,0.0405273,2.0625,-4,-1.0625,47,34,99
"35",-2,-6,-9,1,-1,9,-10,4,-0.208984,-0.0361328,1.00049,0.75,-0.375,0.1875,89,101,138,-2,1,1,2,50,8,-17,1,0.82373,-0.581055,0.0698242,6.4375,12.0625,3.375,47,34,99
"36",12,14,-12,1,-1,-9,-5,1,-0.20752,-0.0219727,0.990723,-0.75,-0.1875,0.25,89,101,138,5,1,1,-1,21,0,-7,4,0.813477,-0.565918,0.0751953,9.1875,19.75,-1.4375,48,34,98
"37",-4,-1,-5,0,-1,-9,4,-3,-0.200684,-0.0249023,1.00244,-0.1875,-0.8125,-0.8125,89,101,138,-13,0,-2,-8,-14,-38,23,-54,0.858887,-0.557617,0.097168,5.4375,-8.8125,-17.625,48,34,97
"38",-10,-24,-12,-4,-3,-7,-3,-3,-0.206543,-0.0454102,1,-0.375,0.0625,-0.125,89,101,138,-39,-18,-11,1,19,-18,-16,-70,0.893066,-0.569336,0.0302734,31.6875,7.25,3.375,49,33,98
"39",17,4,-12,-3,2,-3,-1,4,-0.208008,-0.0356445,1.00391,1.75,0.5,0.625,89,101,138,-36,-10,0,0,-7,35,-11,-3,0.68457,-0.506348,0.109863,7,43.4375,24.4375,51,35,96
"40",-5,10,14,2,0,2,11,-1,-0.206055,-0.0234375,0.995605,0,0.5625,0.3125,89,101,138,1,1,-4,-7,-2,9,22,2,0.862793,-0.62207,0.163574,6.25,-1.75,-1.75,51,36,95
"41",8,3,-12,-3,-1,0,-1,-1,-0.206543,-0.0327148,0.993652,-0.625,-0.625,-0.4375,89,101,138,2,1,-1,-7,-12,-4,-46,-5,0.83252,-0.53125,0.146973,7.875,-0.625,-6,52,36,95
"42",-3,-4,6,-2,-2,3,6,-2,-0.205566,-0.0375977,1.00049,-0.5625,-0.75,0.4375,89,101,138,13,6,0,-8,-37,-3,60,2,0.828125,-0.549805,0.166016,4,-4.75,3.375,52,35,95
"43",-7,-15,-5,-3,-3,-5,-5,-5,-0.20459,-0.0307617,1.00195,1.25,-1,1.3125,89,101,138,2,-3,-5,-10,33,6,8,1,0.786621,-0.569824,0.171387,8.6875,0.9375,2,52,36,95
"44",-31,-24,19,-1,-3,-7,-20,-7,-0.209473,-0.0361328,1.01074,0.8125,-0.8125,1.75,89,101,138,4,5,3,17,-51,84,8,5,0.737305,-0.535156,0.104492,13.4375,-4.3125,1.5,53,36,95
"45",-2,2,-1,-2,-2,7,0,-1,-0.210449,-0.0327148,1.00049,2.125,-0.5625,0.3125,89,101,138,-2,-1,-3,-4,87,-23,-4,20,0.694824,-0.506348,0.0786133,15.4375,1.3125,-5.25,53,36,96
"46",-2,-11,-6,-2,-2,-4,-8,-2,-0.192871,-0.012207,1.00732,1.1875,0.25,0.8125,89,101,138,-2,0,-3,-2,-3,-7,-7,-4,0.604004,-0.509766,0.150391,33.75,33.125,-28.375,54,35,94
"47",3,17,-1,0,0,1,2,-2,-0.20459,-0.0361328,0.999512,0.125,-0.4375,0.125,89,101,138,0,-1,-1,1,6,-1,15,-4,0.598145,-0.48584,0.186523,58.5,70.0625,-35.5625,57,35,92
"48",-8,-5,-21,-1,-2,-3,-2,-3,-0.195312,-0.0107422,1.01416,0.25,1.625,-0.4375,89,101,138,1,4,2,2,1,-5,-5,1,0.552246,-0.327637,0.29541,83.25,127.75,-63.6875,65,36,86
"49",-4,4,-2,-2,-1,3,3,-1,-0.214844,-0.0292969,0.983398,-1.25,1.75,-1.75,89,101,138,0,-5,0,-1,-2,-3,-3,1,0.476074,-0.159668,0.411621,98.375,174.438,-84.0625,74,40,78
"50",-1,-17,-8,-2,-2,-1,-5,-2,-0.199707,-0.0229492,0.999512,-0.4375,-0.25,-2,89,101,138,0,-3,-3,-2,-27,-4,-3,0,0.542969,-0.0615234,0.606445,90.5625,187.375,-99.5,79,45,73
