"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.175293","X.0.0400391","X1.0249","X1.8125","X0.125","X1.3125","X88","X100","X140","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.394531","X0.368164","X0.818359","X1.25","X10.375","X1.4375","X101","X65","X39"
"40",3,-1,13,6,1,-2,-8,-16,-0.195801,-0.03125,1.00537,0,-1,-0.875,88,100,141,-5,-5,-3,-5,-24,-1,2,-5,-0.0546875,-0.0224609,1.1709,14.6875,-74.25,98.1875,92,86,66
"41",-8,6,-42,-8,-2,-6,2,-1,-0.200684,-0.0551758,0.992676,-0.25,-1.375,-0.875,88,100,141,-4,-6,2,1,-30,-2,1,5,-0.0341797,0.0625,1.06348,16,-78.375,82.3125,93,83,67
"42",58,55,6,0,0,8,2,7,-0.188965,-0.0424805,1.00879,1.25,-1.25,-0.4375,88,100,141,0,0,-3,-1,4,-6,-4,18,0,0.00976562,0.984375,1.625,-60.8125,48.375,92,79,69
"43",-14,2,3,-1,-2,0,-2,0,-0.188477,-0.0400391,1.00049,-0.375,-0.5625,-0.3125,88,100,141,-3,-6,-9,-12,-23,-10,-10,-6,0.0561523,0.0249023,0.911621,3.125,-30.75,27.625,92,77,70
"44",-17,0,-6,-1,-2,-4,5,0,-0.187012,-0.0419922,0.993164,0.125,-0.9375,-0.375,88,100,141,-3,5,7,3,16,5,5,0,0.106445,0.0566406,0.888184,3.875,-13.25,12.5625,92,77,70
"45",3,5,8,2,1,7,-3,3,-0.187012,-0.0458984,1.00439,0.4375,-1.25,0.1875,88,100,141,1,1,-6,-1,-24,-6,-8,-1,0.171875,0.0419922,0.931641,-2.5625,10.1875,-1.8125,92,77,70
"46",-7,-9,21,1,-1,-2,-8,-1,-0.188965,-0.0380859,0.999023,-0.4375,-1.0625,0.375,88,100,141,0,-3,-4,-6,-11,-17,-3,4,0.203613,0.0644531,0.949707,4.5625,14.9375,-6.0625,92,78,70
"47",7,6,-20,-4,-3,0,1,2,-0.1875,-0.0390625,1.00391,0.125,-0.875,0.1875,88,100,141,-3,-1,0,3,68,2,-1,-1,0.245605,0.0761719,0.97998,3.3125,13.0625,-11.0625,92,78,70
"48",2,13,47,4,0,-8,6,4,-0.187988,-0.0327148,1.00098,-0.6875,-0.4375,0,88,100,141,3,0,-1,-4,-33,-1,-1,1,0.246094,0.0810547,1.01465,4.25,7.875,-11.625,92,79,70
"49",1,6,-18,2,3,5,5,-4,-0.189453,-0.0385742,0.998047,-0.375,-0.625,0,88,100,141,-2,-3,-1,-5,-31,-2,-3,1,0.259277,0.0888672,1.02393,3.1875,2.125,-9.875,92,79,69
"50",-9,-8,-6,-1,-2,-6,-2,-2,-0.186523,-0.0371094,1.00537,-0.4375,-0.625,0.125,88,100,141,-1,0,0,0,11,1,2,5,0.250977,0.0947266,1.0127,1.5625,0.25,-6.6875,92,78,69
