"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.177246","X.0.0395508","X0.994629","X.5.75","X.0.75","X.3.4375","X89","X101","X146","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.118652","X0.374023","X1.02197","X0.5625","X3.9375","X.1.75","X100","X96","X66"
"16",3,2,18,-2,-2,1,1,4,-0.202148,-0.0214844,1.00391,-0.0625,-0.0625,-1.3125,89,101,146,26,14,6,10,-23,3,0,-5,0.80957,-0.462891,0.0761719,4.75,7.125,-6.25,52,30,97
"17",2,7,-13,-3,-2,-2,-1,3,-0.202637,-0.027832,1.00195,-0.4375,0.5625,-0.5,89,101,146,-11,-10,-6,-2,-34,0,-12,-9,0.831543,-0.483887,0.134766,5.625,5.9375,-10.3125,52,30,97
"18",-18,-35,3,-7,-2,-4,-2,-7,-0.199219,-0.00830078,1.00293,1.5625,0.1875,0.75,89,101,146,-3,-1,8,18,12,-24,79,45,0.84668,-0.460449,0.163574,11.1875,2.125,-11.625,53,30,96
"19",-2,4,-4,4,-1,-1,-2,-7,-0.200195,-0.012207,1.00244,0.3125,0,0.125,89,101,146,37,10,15,4,-8,12,-20,54,0.962402,-0.507324,0.0947266,12.75,3.25,-17.5,53,29,96
"20",3,-25,-34,-2,-2,-2,-4,-1,-0.204102,-0.0239258,1,-0.25,0.125,0.125,89,101,146,-39,-1,3,-2,-5,48,-21,-22,0.731934,-0.398926,0.111816,24.5625,65.3125,28.375,56,31,94
"21",-11,12,-1,-5,-1,1,-1,-3,-0.205566,-0.0234375,1.00488,2,0.3125,0.375,89,101,146,-4,1,-5,-22,9,-5,46,0,0.938477,-0.533691,0.268066,11.5625,5.6875,-5.75,57,32,93
"22",-10,-27,-16,-2,-1,4,-3,1,-0.209961,-0.0151367,0.988281,1.625,0.8125,0.6875,89,101,146,-2,0,-3,-3,-6,-18,-20,13,0.936035,-0.486816,0.280762,22.1875,5.5625,2.25,58,32,93
"23",4,-10,-4,-2,-1,-1,-1,3,-0.200684,-0.0107422,1.00098,1.3125,-0.1875,0.4375,89,101,146,22,-2,1,1,-15,-5,-43,16,0.875,-0.496094,0.26709,1.5625,-7.125,4.0625,58,32,93
"24",-10,-26,-8,-4,-4,-2,-3,-1,-0.208008,-0.012207,0.999512,0.4375,0.5,0.125,89,101,146,-12,3,-7,-2,-5,-12,-26,-13,0.853027,-0.48291,0.286621,-1.0625,-4.4375,4.8125,58,32,93
"25",8,9,10,-1,0,0,2,2,-0.207031,-0.0107422,1.00342,1.6875,0.375,-0.1875,89,101,146,4,6,6,14,-40,18,-1,13,0.833008,-0.476562,0.26709,-3.875,-3.3125,5.625,58,32,93
"26",-46,-11,0,3,1,-5,0,-7,-0.199707,-0.00927734,0.996582,-0.375,-0.6875,0.0625,89,101,146,-13,-6,-8,-19,-51,-21,-8,-15,0.814941,-0.500977,0.255859,-7.875,-6.125,5.875,57,32,94
"27",-5,-8,-6,0,0,6,-2,-2,-0.205078,-0.00732422,1.00098,-0.4375,-1.0625,-0.1875,89,101,146,-10,-9,-17,-51,-45,13,6,11,0.810059,-0.496094,0.198242,-7.75,-7.875,8.875,57,33,94
"28",-9,-4,23,-1,-3,-6,0,-1,-0.199707,0.000976562,0.99707,0.4375,-0.375,0.125,89,101,146,3,2,9,5,-93,-46,-13,6,0.88623,-0.64209,0.196777,-34.875,-15.5,3.5,56,33,95
"29",1,-2,-2,1,1,6,2,0,-0.202637,-0.00732422,0.990234,-1.0625,-0.375,-0.625,89,101,146,-17,17,23,46,-88,26,1,-4,0.865723,-0.425781,0.22998,-56.5625,-34.125,-40.375,54,31,96
"30",-8,-6,-17,-2,-2,-2,1,-2,-0.20459,-0.0166016,0.996094,0.5,-0.625,-0.8125,89,101,146,15,0,-5,3,84,14,-33,1,0.832031,-0.412598,0.162598,3.625,-39.8125,-1.625,52,30,97
"31",-10,-23,-23,3,0,-2,-1,-2,-0.200684,-0.0102539,1.00195,0.1875,-0.5625,-0.0625,89,101,146,11,9,5,9,-28,-9,1,1,0.835449,-0.51416,0.105957,-20.5,-25.3125,-1.0625,50,29,99
"32",11,-4,-1,-2,-2,-3,-1,-3,-0.200195,-0.0112305,0.995117,-0.875,-0.375,-0.3125,89,101,146,-12,-6,-2,3,5,-59,-3,-28,0.843262,-0.468262,0.100098,6.8125,7.875,0.6875,50,29,99
"33",-24,12,17,-1,4,5,-1,-4,-0.194824,-0.0146484,1.00586,0.1875,-0.5,-0.5625,89,101,146,-4,-7,-6,-10,2,15,26,-12,0.84668,-0.476562,0.0991211,10.4375,13.1875,4.9375,51,30,98
"34",-19,-14,-5,-6,-3,1,-5,-4,-0.19873,-0.0117188,1.00049,-0.25,-0.125,-0.0625,89,101,146,-9,-10,-7,-10,-16,-43,-16,1,0.828613,-0.468262,0.132324,3.625,11,-0.1875,52,30,98
